name,entry_id,spacegroup,ntypes,band_gap,delta_e,stability
La2SO2,2902,P-3m1,3,3.262,-3.41007021915417,0.0001815279999997088
VPbO3,19572,P4mm,3,1.001,-2.05965225658418,0.024153878249994154
Ce2O3,19840,P-3m1,2,3.967,-3.49303088452725,0.027348625249999703
FeBiO3,21380,Cm,3,1.27,-1.5341249882101,0.034939948124997455
KNbO3,2928,Amm2,3,2.041,-2.69421751252725,0.0041885420000031814
La2BiO2,27120,I4/mmm,3,0.0,-2.8730054873515,0.0
CuCO3,2420,Cm,3,0.0,-1.00074541336465,0.2560230555000027
Er2BiO2,27122,I4/mmm,3,0.0,-2.8908573753515,0.0
Pm2O3,16543,P-3m1,2,4.003,-3.64103890052725,0.03559802824999991
Ce2TeO2,15784,I4/mmm,3,1.955,-3.00022148601817,0.0017966380000000726
Pr2TeO2,15785,I4/mmm,3,1.916,-3.03048663201817,0.0015206659999997818
Gd2TeO2,15788,I4/mmm,3,1.337,-3.12949487801817,0.00034501400000008786
Tb2TeO2,15789,I4/mmm,3,1.409,-2.87509239088484,0.0006584680000001342
Dy2TeO2,15790,I4/mmm,3,1.189,-3.14364575968484,0.00037900999999962437
Pr2O3,11434,P-3m1,2,3.917,-3.54718636852725,0.028882501250000026
Eu3InO,26141,Pm-3m,3,0.0,-1.65346064117575,0.0
BaCO3,20156,R3m,3,4.72,-2.49308554502725,0.0226344949999997
Rb2HgO2,4773,I4/mmm,3,2.297,-1.18340044734476,0.0
CdCO3,6313,R-3m,3,0.0,1.37439397497275,2.9753830830000023
KBrO3,6314,R3m,3,3.518,-0.93279060401042,0.0
La2TeO2,5206,I4/mmm,3,2.221,-3.19530135301817,0.0
